tasting_category_fine,ethyl_acetate,H2S,isobutyl_acetate,pH,protein.g.L.,bitterness,kcalperc,X3.methylbutanal,ethyl.butyrate,ethyl.lactate,X3.methyl.2.hexanol,X2.pentyl.furan,X2.3.dihydro.farnesol,limonene,eucalyptol,cis.linalool.oxide,trans.dihydro.beta.terpineol,cis.beta.terpineol,isoborneol,cumin.aldehyde,eugenol,E.caryophyllene,linalool.isovalerate,Z.nerolidol,alpha.eudesmol,tau.muurolol,ambroxide,manool,styrene,overall
0,-0.599349782,0.646678137,-3.265600257,0.624797579,0.995635195,0.54344718,1.528131048,0.0,0.000205621,-1.81781854,8.327708883,5.633351441,-1.81781854,7.525391256,5.741261636,6.089594992,4.226093497,6.996859911,6.704602688,5.817634755,0.001417299,0.002168421,4.724113198,0.000855176,-1.81781854,-1.81781854,3.806820131,5.721204203,0.000279824,-0.46785231
0,-0.507253576,0.284789302,-3.265600257,0.627365857,0.911157609,1.392283561,1.573056951,0.002255568,0.000489059,-1.81781854,8.719027268,5.047435558,3.994792598,-1.81781854,-1.81781854,4.847781862,4.254682787,-1.81781854,5.663335872,4.442513734,0.000177669,9.15e-05,3.990793639,0.000911951,5.83727912,5.766721243,3.968726432,5.810500871,0.001966321,-0.994805689
0,-0.134514038,-1.586071886,-3.265600257,0.63447727,0.792391689,1.121198603,1.51271714,0.001885006,0.000506055,-1.81781854,8.620787483,5.297171627,4.879504369,-1.81781854,-1.81781854,3.738782029,4.061893066,-1.81781854,5.637395457,4.730831013,0.000175396,0.000691357,-1.81781854,0.001936827,5.975323373,5.756975552,4.095296446,5.585528603,0.000561774,-1.528543899
0,-0.233873554,0.401395371,-3.265600257,0.657533888,0.802773725,1.326233421,1.51516396,0.00123903,0.000361981,-1.81781854,8.600933697,5.818193417,3.368209592,-1.81781854,-1.81781854,4.32575029,4.221366479,-1.81781854,5.807362777,4.486404386,0.000123916,0.000174427,3.888329552,0.000590342,3.720947014,5.540785695,3.786948371,5.204582653,0.000518496,-0.934138161
0,0.207751474,1.11354111,-2.872895202,0.630050882,0.139096337,0.154271776,0.955286362,0.006766748,0.017897975,-1.81781854,8.532116964,5.167518129,5.519664399,-1.81781854,4.202031244,-1.81781854,4.68300148,-1.81781854,5.669797728,4.439884455,3.86e-05,8.06e-05,4.419123984,0.001345805,-1.81781854,5.62043492,4.657489459,6.515499379,0.003196712,-1.735964657
1,0.659248089,-1.586071886,-3.265600257,0.593286067,1.399673721,0.918030337,1.77751563,0.033458131,0.014363279,-1.81781854,8.16350444,4.765267049,5.59165313,-1.81781854,4.853810869,5.725193054,4.332018443,-1.81781854,5.848253792,5.178405167,0.188861713,5.394685936,4.09346881,0.042715627,4.781491149,5.525074725,4.192151023,5.908192286,0.023242407,-0.800697501
2,1.577114673,1.087062321,-0.447447368,0.63447727,1.079181246,1.061866972,1.783516899,0.183261611,0.056606662,-1.81781854,7.847041256,5.349732972,5.546056203,-1.81781854,-1.81781854,4.420719941,4.594370975,-1.81781854,5.125015839,3.908562896,0.000984401,0.000486423,4.871912136,0.005552412,-1.81781854,4.516660434,4.026356069,5.923461355,0.239221515,-0.259323556
1,0.46560812,0.662232584,-3.265600257,0.57634135,1.36078269,0.979502849,1.747799936,0.02709936,0.012685589,5.913213605,8.269164562,5.117896914,-1.81781854,-1.81781854,5.039913804,6.153598438,4.096601712,-1.81781854,6.293992495,4.898262332,0.010852541,0.017168046,7.027415089,0.002258676,-1.81781854,5.712377605,4.333710069,5.858581848,0.014425674,-0.250889603
3,0.949666111,0.856218793,-2.031517051,0.62324929,0.525044807,1.113425231,1.504498048,0.035419732,0.028762618,-1.81781854,8.111843058,5.185612824,5.68830708,-1.81781854,4.306985185,-1.81781854,4.50850469,-1.81781854,5.493119438,4.274967826,0.000330681,0.000272775,4.205292261,0.001805335,5.048597761,5.785502391,4.409765137,5.88962727,0.001159386,0.230788319
1,0.786459666,0.662037344,-2.57105571,0.584896344,1.33243846,0.691656043,1.7570926,0.024003576,0.014473665,-1.81781854,8.194455158,5.041369802,4.934105105,-1.81781854,-1.81781854,5.400656888,4.707812188,6.416645095,6.737645165,4.60648351,0.001934745,0.004144992,7.595991289,0.012129481,-1.81781854,5.410889414,4.73293403,6.081143952,0.065728506,-0.677687018
